id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario
FD00047,C00529,2025-08-16,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,10,Consegui acompanhar minha carteira
FD00048,C00195,2025-07-08,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,9,Assessoria ajudou na decisao
FD00049,C00409,2025-09-25,2025T3,Novo Investidor,Tesouro Direto,App,5+ anos,7,"Atendimento resolveu, mas demorou"
FD00050,C00121,2025-09-25,2025T3,Varejo,Carteira Administrada,App,2-5 anos,9,Consegui acompanhar minha carteira
FD00051,C00112,2025-07-08,2025T3,Private,CDB,Assessoria,0-6 meses,10,Boa experiencia no aplicativo
FD00052,C00520,2025-08-06,2025T3,Private,Fundos,Assessoria,0-6 meses,7,Aplicativo poderia explicar melhor
FD00053,C00254,2025-09-23,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00054,C00373,2025-07-20,2025T3,Private,Fundos,App,6-24 meses,8,Aplicativo poderia explicar melhor
FD00055,C00328,2025-07-09,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Demorou um pouco para encontrar informacoes
FD00056,C00180,2025-08-28,2025T3,Private,COE,Assessoria,5+ anos,10,Boa experiencia no aplicativo
FD00057,C00414,2025-07-25,2025T3,Varejo,Tesouro Direto,App,6-24 meses,10,Assessoria ajudou na decisao
FD00058,C00072,2025-09-25,2025T3,Private,Carteira Administrada,Central de Atendimento,2-5 anos,9,Atendimento claro e rapido
FD00059,C00094,2025-08-06,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo
FD00060,C00514,2025-07-06,2025T3,Varejo,CDB,App,2-5 anos,10,Boa experiencia no aplicativo
FD00061,C00372,2025-09-23,2025T3,Private,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00062,C00061,2025-08-05,2025T3,Alta Renda,CDB,App,2-5 anos,9,Assessoria ajudou na decisao
FD00063,C00335,2025-08-23,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor
FD00064,C00383,2025-07-20,2025T3,Varejo,COE,Assessoria,0-6 meses,9,Informacoes estavam faceis de encontrar
FD00065,C00219,2025-09-04,2025T3,Varejo,Carteira Administrada,Central de Atendimento,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00066,C00007,2025-08-08,2025T3,Private,Fundos,App,0-6 meses,9,Atendimento claro e rapido
FD00067,C00493,2025-08-13,2025T3,Private,CDB,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira
FD00068,C00365,2025-09-18,2025T3,Novo Investidor,Carteira Administrada,Internet Banking,5+ anos,9,Atendimento claro e rapido
FD00069,C00258,2025-07-25,2025T3,Varejo,Carteira Administrada,Internet Banking,5+ anos,8,"Atendimento resolveu, mas demorou"
FD00070,C00147,2025-07-16,2025T3,Varejo,Fundos,App,5+ anos,9,Assessoria ajudou na decisao
FD00071,C00005,2025-07-09,2025T3,Private,Fundos,Central de Atendimento,6-24 meses,10,
FD00072,C00457,2025-07-18,2025T3,Private,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo
FD00073,C00404,2025-07-03,2025T3,Varejo,Fundos,App,2-5 anos,10,Atendimento claro e rapido
FD00074,C00287,2025-09-24,2025T3,Alta Renda,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00075,C00178,2025-08-11,2025T3,Alta Renda,Carteira Administrada,Internet Banking,5+ anos,9,Boa experiencia no aplicativo
FD00076,C00333,2025-08-15,2025T3,Private,CDB,App,6-24 meses,1,Demora para resolver meu problema
FD00077,C00436,2025-07-10,2025T3,Varejo,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00078,C00001,2025-07-30,2025T3,Alta Renda,Tesouro Direto,Assessoria,5+ anos,10,Informacoes estavam faceis de encontrar
FD00079,C00271,2025-07-15,2025T3,Varejo,Fundos,App,6-24 meses,1,Nao consegui falar com assessor
FD00080,C00010,2025-09-08,2025T3,Varejo,CDB,Central de Atendimento,5+ anos,7,"Experiencia ok, mas poderia ser mais simples"
FD00081,C00297,2025-07-04,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,6,Informacoes divergentes sobre o produto
FD00082,C00242,2025-08-26,2025T3,Novo Investidor,Fundos,Internet Banking,6-24 meses,9,Atendimento claro e rapido
FD00083,C00202,2025-08-18,2025T3,Private,Fundos,App,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00084,C00079,2025-07-17,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido
FD00085,C00390,2025-07-14,2025T3,Varejo,CDB,App,5+ anos,10,Atendimento claro e rapido
FD00086,C00496,2025-09-14,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,9,Boa experiencia no aplicativo
FD00087,C00106,2025-08-07,2025T3,Private,COE,Assessoria,6-24 meses,9,Assessoria ajudou na decisao
FD00088,C00439,2025-09-07,2025T3,Varejo,Tesouro Direto,App,5+ anos,10,Boa experiencia no aplicativo
FD00089,C00214,2025-08-09,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor
FD00090,C00398,2025-08-28,2025T3,Alta Renda,CDB,Assessoria,5+ anos,8,Tive duvida sobre rentabilidade
FD00091,C00436,2025-08-07,2025T3,Varejo,Carteira Administrada,Internet Banking,6-24 meses,8,Tive duvida sobre rentabilidade
FD00092,C00266,2025-08-01,2025T3,Varejo,COE,App,6-24 meses,0,Nao consegui falar com assessor
FD00093,C00545,2025-08-08,2025T3,Varejo,CDB,Assessoria,6-24 meses,7,Demorou um pouco para encontrar informacoes
FD00094,C00381,2025-09-02,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00095,C00374,2025-09-01,2025T3,Varejo,CDB,Assessoria,6-24 meses,10,Atendimento claro e rapido
FD00096,C00206,2025-09-06,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Boa experiencia no aplicativo
FD00097,C00068,2025-09-20,2025T3,Varejo,CDB,Internet Banking,5+ anos,10,Consegui acompanhar minha carteira
FD00098,C00034,2025-07-07,2025T3,Novo Investidor,COE,Assessoria,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00099,C00445,2025-08-15,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo
FD00100,C00533,2025-09-13,2025T3,Novo Investidor,CDB,Assessoria,6-24 meses,10,Boa experiencia no aplicativo
FD00101,C00006,2025-08-25,2025T3,Private,Fundos,Internet Banking,6-24 meses,10,Atendimento claro e rapido
FD00102,C00054,2025-07-03,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,9,Boa experiencia no aplicativo
FD00103,C00057,2025-07-24,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Atendimento claro e rapido
FD00104,C00273,2025-08-22,2025T3,Varejo,Tesouro Direto,Central de Atendimento,0-6 meses,10,Atendimento claro e rapido
FD00105,C00480,2025-07-24,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,7,Tive duvida sobre rentabilidade
FD00106,C00270,2025-09-22,2025T3,Alta Renda,Carteira Administrada,App,6-24 meses,9,Assessoria ajudou na decisao
FD00107,C00174,2025-09-26,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Informacoes estavam faceis de encontrar
FD00108,C00140,2025-08-07,2025T3,Novo Investidor,CDB,App,6-24 meses,7,Aplicativo poderia explicar melhor
FD00109,C00468,2025-09-26,2025T3,Varejo,Carteira Administrada,Assessoria,0-6 meses,10,
FD00110,C00203,2025-08-02,2025T3,Private,Fundos,App,2-5 anos,9,Assessoria ajudou na decisao
FD00111,C00357,2025-08-02,2025T3,Private,Tesouro Direto,App,5+ anos,9,Boa experiencia no aplicativo
FD00112,C00090,2025-07-15,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,6-24 meses,10,Atendimento claro e rapido
FD00113,C00375,2025-07-06,2025T3,Private,CDB,Internet Banking,2-5 anos,9,Consegui acompanhar minha carteira
FD00114,C00398,2025-09-22,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,5,Nao consegui falar com assessor
FD00115,C00383,2025-07-26,2025T3,Varejo,CDB,Assessoria,2-5 anos,10,Atendimento claro e rapido
FD00116,C00078,2025-07-12,2025T3,Private,CDB,App,0-6 meses,10,Atendimento claro e rapido
FD00117,C00332,2025-08-22,2025T3,Varejo,CDB,Central de Atendimento,2-5 anos,9,Consegui acompanhar minha carteira
FD00118,C00098,2025-08-28,2025T3,Alta Renda,Fundos,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo
FD00119,C00159,2025-09-14,2025T3,Private,Fundos,App,0-6 meses,9,Boa experiencia no aplicativo
FD00120,C00500,2025-07-20,2025T3,Novo Investidor,Tesouro Direto,Assessoria,2-5 anos,8,"Atendimento resolveu, mas demorou"
FD00121,C00130,2025-09-04,2025T3,Alta Renda,Tesouro Direto,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao
FD00122,C00166,2025-07-03,2025T3,Varejo,Fundos,Central de Atendimento,2-5 anos,9,Consegui acompanhar minha carteira
FD00123,C00382,2025-09-25,2025T3,Varejo,Fundos,App,2-5 anos,8,Tive duvida sobre rentabilidade
FD00124,C00066,2025-08-29,2025T3,Alta Renda,Tesouro Direto,App,6-24 meses,9,Assessoria ajudou na decisao
FD00125,C00517,2025-09-27,2025T3,Alta Renda,Fundos,Internet Banking,5+ anos,10,Atendimento claro e rapido
FD00126,C00038,2025-08-14,2025T3,Private,Fundos,App,6-24 meses,9,Informacoes estavam faceis de encontrar
FD00127,C00011,2025-09-14,2025T3,Private,Carteira Administrada,App,5+ anos,9,Atendimento claro e rapido
FD00128,C00232,2025-09-22,2025T3,Alta Renda,CDB,Internet Banking,6-24 meses,9,Boa experiencia no aplicativo
FD00129,C00387,2025-08-25,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Assessoria ajudou na decisao
FD00130,C00389,2025-08-06,2025T3,Varejo,CDB,App,5+ anos,9,Boa experiencia no aplicativo
FD00131,C00354,2025-08-20,2025T3,Private,CDB,App,0-6 meses,4,Nao entendi a cobranca
FD00132,C00142,2025-08-19,2025T3,Private,COE,Central de Atendimento,5+ anos,10,Assessoria ajudou na decisao
FD00133,C00001,2025-07-23,2025T3,Alta Renda,CDB,App,0-6 meses,10,Assessoria ajudou na decisao
FD00134,C00214,2025-07-01,2025T3,Private,Fundos,App,2-5 anos,10,Assessoria ajudou na decisao
FD00135,C00238,2025-09-28,2025T3,Private,CDB,Central de Atendimento,6-24 meses,10,Assessoria ajudou na decisao
FD00136,C00516,2025-09-29,2025T3,Private,CDB,Assessoria,5+ anos,8,"Atendimento resolveu, mas demorou"
FD00137,C00138,2025-09-07,2025T3,Varejo,Fundos,App,2-5 anos,9,Boa experiencia no aplicativo
FD00138,C00283,2025-09-27,2025T3,Alta Renda,CDB,Internet Banking,5+ anos,10,Boa experiencia no aplicativo
FD00139,C00055,2025-07-04,2025T3,Varejo,Fundos,Assessoria,2-5 anos,4,Aplicativo travou durante consulta
FD00140,C00436,2025-09-26,2025T3,Varejo,Fundos,Assessoria,6-24 meses,10,Atendimento claro e rapido
FD00141,C00267,2025-07-19,2025T3,Varejo,Tesouro Direto,Internet Banking,6-24 meses,10,Atendimento claro e rapido
FD00142,C00047,2025-09-10,2025T3,Alta Renda,CDB,App,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00143,C00449,2025-09-08,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,7,Aplicativo poderia explicar melhor
FD00144,C00422,2025-07-15,2025T3,Varejo,CDB,App,6-24 meses,9,Boa experiencia no aplicativo
FD00145,C00049,2025-09-18,2025T3,Alta Renda,Fundos,Internet Banking,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00146,C00076,2025-09-24,2025T3,Varejo,CDB,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo
FD00147,C00057,2025-07-28,2025T3,Private,Fundos,App,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00148,C00057,2025-09-27,2025T3,Private,Fundos,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo
FD00149,C00355,2025-08-11,2025T3,Private,Carteira Administrada,Assessoria,6-24 meses,9,Atendimento claro e rapido
FD00150,C00519,2025-08-14,2025T3,Novo Investidor,Tesouro Direto,App,2-5 anos,7,Tive duvida sobre rentabilidade
FD00151,C00532,2025-07-09,2025T3,Novo Investidor,Fundos,Assessoria,2-5 anos,3,Aplicativo travou durante consulta
FD00152,C00032,2025-09-29,2025T3,Private,Tesouro Direto,Central de Atendimento,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00153,C00062,2025-08-05,2025T3,Private,Carteira Administrada,App,0-6 meses,9,Assessoria ajudou na decisao
FD00154,C00534,2025-07-21,2025T3,Alta Renda,CDB,App,0-6 meses,7,Aplicativo poderia explicar melhor
FD00155,C00286,2025-09-16,2025T3,Private,Fundos,Internet Banking,2-5 anos,9,Consegui acompanhar minha carteira
FD00156,C00169,2025-08-11,2025T3,Private,CDB,App,6-24 meses,10,Consegui acompanhar minha carteira
FD00157,C00213,2025-09-28,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,9,Consegui acompanhar minha carteira
FD00158,C00409,2025-09-11,2025T3,Novo Investidor,Fundos,App,6-24 meses,8,Tive duvida sobre rentabilidade
FD00159,C00255,2025-07-05,2025T3,Private,Tesouro Direto,App,0-6 meses,9,Assessoria ajudou na decisao
FD00160,C00267,2025-08-27,2025T3,Varejo,CDB,Internet Banking,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples"
FD00161,C00008,2025-07-30,2025T3,Varejo,COE,Internet Banking,6-24 meses,10,Assessoria ajudou na decisao
FD00162,C00534,2025-08-24,2025T3,Alta Renda,CDB,Central de Atendimento,2-5 anos,10,Atendimento claro e rapido
FD00163,C00058,2025-09-22,2025T3,Private,Tesouro Direto,Assessoria,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00164,C00195,2025-09-03,2025T3,Alta Renda,CDB,Central de Atendimento,5+ anos,10,Informacoes estavam faceis de encontrar
FD00165,C00254,2025-07-16,2025T3,Alta Renda,Fundos,App,2-5 anos,9,Boa experiencia no aplicativo
FD00166,C00313,2025-09-23,2025T3,Private,CDB,App,6-24 meses,9,Atendimento claro e rapido
FD00167,C00203,2025-09-20,2025T3,Private,Tesouro Direto,Assessoria,2-5 anos,10,Consegui acompanhar minha carteira
FD00168,C00262,2025-08-18,2025T3,Novo Investidor,Tesouro Direto,Central de Atendimento,0-6 meses,3,Demora para resolver meu problema
FD00169,C00358,2025-09-18,2025T3,Varejo,Tesouro Direto,Assessoria,6-24 meses,6,Aplicativo travou durante consulta
FD00170,C00261,2025-09-16,2025T3,Varejo,Tesouro Direto,App,5+ anos,9,Informacoes estavam faceis de encontrar
FD00171,C00535,2025-07-14,2025T3,Varejo,Carteira Administrada,App,0-6 meses,6,Aplicativo travou durante consulta
FD00172,C00008,2025-07-13,2025T3,Varejo,Carteira Administrada,App,6-24 meses,6,Nao ficou claro o risco do produto
FD00173,C00515,2025-08-01,2025T3,Private,CDB,App,0-6 meses,5,Informacoes divergentes sobre o produto
FD00174,C00097,2025-08-01,2025T3,Alta Renda,COE,Assessoria,6-24 meses,10,Boa experiencia no aplicativo
FD00175,C00254,2025-07-10,2025T3,Alta Renda,Fundos,App,6-24 meses,10,Atendimento claro e rapido
FD00176,C00098,2025-07-09,2025T3,Alta Renda,Fundos,Internet Banking,0-6 meses,9,Informacoes estavam faceis de encontrar
FD00177,C00129,2025-07-04,2025T3,Private,Tesouro Direto,App,2-5 anos,9,Consegui acompanhar minha carteira
FD00178,C00235,2025-08-07,2025T3,Private,CDB,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00179,C00172,2025-09-30,2025T3,Private,Carteira Administrada,App,2-5 anos,9,Consegui acompanhar minha carteira
FD00180,C00169,2025-07-21,2025T3,Private,Tesouro Direto,Central de Atendimento,0-6 meses,9,Consegui acompanhar minha carteira
FD00181,C00459,2025-09-23,2025T3,Private,Fundos,App,5+ anos,9,Assessoria ajudou na decisao
FD00182,C00247,2025-08-29,2025T3,Alta Renda,CDB,App,2-5 anos,9,Atendimento claro e rapido
FD00183,C00086,2025-09-20,2025T3,Alta Renda,CDB,App,2-5 anos,10,Assessoria ajudou na decisao
FD00184,C00269,2025-09-02,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Atendimento claro e rapido
FD00185,C00005,2025-08-27,2025T3,Private,Fundos,App,6-24 meses,10,Consegui acompanhar minha carteira
FD00186,C00115,2025-08-18,2025T3,Varejo,Carteira Administrada,App,2-5 anos,10,Consegui acompanhar minha carteira
FD00187,C00133,2025-07-08,2025T3,Private,Tesouro Direto,App,0-6 meses,10,Assessoria ajudou na decisao
FD00188,C00515,2025-07-05,2025T3,Private,Fundos,App,2-5 anos,9,Assessoria ajudou na decisao
FD00189,C00527,2025-07-28,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,6-24 meses,6,Nao entendi a cobranca
FD00190,C00103,2025-09-30,2025T3,Alta Renda,Fundos,Assessoria,5+ anos,9,Atendimento claro e rapido
FD00191,C00128,2025-08-05,2025T3,Varejo,CDB,Central de Atendimento,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00192,C00031,2025-07-21,2025T3,Varejo,Fundos,App,0-6 meses,10,Consegui acompanhar minha carteira
FD00193,C00522,2025-08-01,2025T3,Alta Renda,CDB,App,2-5 anos,5,Demora para resolver meu problema
FD00194,C00375,2025-08-28,2025T3,Private,Tesouro Direto,Central de Atendimento,2-5 anos,9,Boa experiencia no aplicativo
FD00195,C00040,2025-08-20,2025T3,Alta Renda,CDB,App,5+ anos,5,Informacoes divergentes sobre o produto
FD00196,C00299,2025-08-16,2025T3,Varejo,CDB,Assessoria,6-24 meses,6,Nao entendi a cobranca
FD00197,C00293,2025-09-13,2025T3,Varejo,Tesouro Direto,Assessoria,6-24 meses,8,Tive duvida sobre rentabilidade
FD00198,C00218,2025-09-23,2025T3,Varejo,CDB,App,2-5 anos,7,"Experiencia ok, mas poderia ser mais simples"
FD00199,C00290,2025-08-12,2025T3,Varejo,CDB,App,2-5 anos,8,Aplicativo poderia explicar melhor
FD00200,C00337,2025-07-25,2025T3,Varejo,Fundos,App,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00201,C00129,2025-09-03,2025T3,Private,Tesouro Direto,App,6-24 meses,10,Boa experiencia no aplicativo
FD00202,C00133,2025-08-15,2025T3,Private,Carteira Administrada,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo
FD00203,C00369,2025-09-28,2025T3,Private,Tesouro Direto,Assessoria,5+ anos,9,Atendimento claro e rapido
FD00204,C00163,2025-07-16,2025T3,Varejo,CDB,Assessoria,0-6 meses,8,Demorou um pouco para encontrar informacoes
FD00205,C00369,2025-07-20,2025T3,Private,Carteira Administrada,Central de Atendimento,2-5 anos,9,Boa experiencia no aplicativo
FD00206,C00216,2025-09-12,2025T3,Private,CDB,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo
FD00207,C00098,2025-07-14,2025T3,Alta Renda,Carteira Administrada,App,2-5 anos,10,Assessoria ajudou na decisao
FD00208,C00030,2025-07-30,2025T3,Private,CDB,Internet Banking,5+ anos,10,Assessoria ajudou na decisao
FD00209,C00180,2025-09-14,2025T3,Private,Carteira Administrada,App,2-5 anos,9,Boa experiencia no aplicativo
FD00210,C00379,2025-08-24,2025T3,Varejo,Fundos,App,2-5 anos,9,Consegui acompanhar minha carteira
FD00211,C00263,2025-08-26,2025T3,Private,Tesouro Direto,App,5+ anos,10,Boa experiencia no aplicativo
FD00212,C00201,2025-09-08,2025T3,Varejo,Tesouro Direto,Internet Banking,5+ anos,7,"Experiencia ok, mas poderia ser mais simples"
FD00213,C00537,2025-07-10,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo
FD00214,C00354,2025-08-20,2025T3,Private,CDB,Assessoria,5+ anos,10,Consegui acompanhar minha carteira
FD00215,C00226,2025-08-18,2025T3,Private,Tesouro Direto,Assessoria,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples"
FD00216,C00257,2025-08-04,2025T3,Novo Investidor,Fundos,Internet Banking,6-24 meses,10,Consegui acompanhar minha carteira
FD00217,C00525,2025-07-31,2025T3,Varejo,Fundos,App,5+ anos,9,Informacoes estavam faceis de encontrar
FD00218,C00376,2025-07-07,2025T3,Alta Renda,CDB,App,6-24 meses,9,Informacoes estavam faceis de encontrar
FD00219,C00359,2025-09-15,2025T3,Novo Investidor,CDB,App,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples"
FD00220,C00099,2025-07-21,2025T3,Private,Carteira Administrada,,2-5 anos,10,Consegui acompanhar minha carteira
FD00221,C00154,2025-07-20,2025T3,Alta Renda,Tesouro Direto,Assessoria,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00222,C00222,2025-08-06,2025T3,Varejo,Tesouro Direto,Assessoria,5+ anos,8,"Experiencia ok, mas poderia ser mais simples"
FD00223,C00084,2025-09-27,2025T3,Private,Fundos,App,5+ anos,10,Informacoes estavam faceis de encontrar
FD00224,C00446,2025-09-09,2025T3,Novo Investidor,CDB,App,2-5 anos,7,Demorou um pouco para encontrar informacoes
FD00225,C00296,2025-08-08,2025T3,Alta Renda,COE,App,2-5 anos,10,Assessoria ajudou na decisao
FD00226,C00478,2025-07-02,2025T3,Alta Renda,CDB,App,2-5 anos,9,Atendimento claro e rapido
FD00227,C00336,2025-09-14,2025T3,Private,CDB,Assessoria,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00228,C00167,2025-09-02,2025T3,Alta Renda,Carteira Administrada,App,6-24 meses,10,Consegui acompanhar minha carteira
FD00229,C00039,2025-09-23,2025T3,Varejo,Fundos,Assessoria,2-5 anos,7,"Atendimento resolveu, mas demorou"
