id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario,id_cliente_num,qtd_atendimentos,nota_atendimento_media,qtd_atendimentos_resolvidos,qtd_atendimentos_pendentes,principal_motivo_contato,principal_canal_atendimento,produto_atendimento,qtd_registros_extrato,qtd_acessos_app_30d,qtd_reclamacoes_90d,tempo_resolucao_horas,suitability_pendente,produto_extrato
FD00016,C00321,2025-09-21,2025T3,Alta Renda,CDB,App,6-24 meses,10,Consegui acompanhar minha carteira,321,,,,,,,,3.0,6.666666666666667,0.0,8.4,0.0,CDB
FD00017,C00137,2025-09-08,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo,137,2.0,10.0,1.0,1.0,acesso app,Chat,Carteira Administrada,4.0,7.75,0.3333333333333333,47.25,1.0,Carteira Administrada
FD00018,C00301,2025-09-13,2025T3,Private,CDB,App,0-6 meses,9,Atendimento claro e rapido,301,,,,,,,,2.0,9.0,0.0,21.35,0.0,CDB
FD00019,C00082,2025-08-05,2025T3,Varejo,CDB,Assessoria,5+ anos,9,Assessoria ajudou na decisao,82,1.0,5.0,0.0,1.0,acesso app,Telefone,Carteira Administrada,3.0,8.666666666666666,0.0,37.23333333333333,0.0,CDB
FD00020,C00087,2025-08-20,2025T3,Varejo,Fundos,Central de Atendimento,5+ anos,10,Consegui acompanhar minha carteira,87,2.0,8.5,0.0,0.0,acesso app,Agencia,Carteira Administrada,2.0,3.0,0.0,27.75,0.0,Carteira Administrada
FD00021,C00280,2025-07-26,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Aplicativo poderia explicar melhor,280,,,,,,,,2.0,9.0,0.5,6.9,0.0,CDB
FD00022,C00254,2025-09-02,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido,254,1.0,8.0,0.0,1.0,reclamacao atendimento,Telefone,Fundos,5.0,10.6,0.0,13.080000000000002,0.0,Fundos
FD00023,C00426,2025-07-10,2025T3,Alta Renda,COE,App,2-5 anos,9,Informacoes estavam faceis de encontrar,426,2.0,9.5,1.0,1.0,explicacao risco,Telefone,COE,2.0,11.5,0.0,12.850000000000001,0.0,COE
FD00024,C00111,2025-09-11,2025T3,Alta Renda,CDB,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao,111,1.0,9.0,1.0,0.0,extrato,Chat,CDB,4.0,6.0,0.0,16.799999999999997,0.0,Fundos
FD00025,C00079,2025-08-31,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Informacoes estavam faceis de encontrar,79,,,,,,,,5.0,10.6,0.0,15.12,0.0,Tesouro Direto
FD00026,C00283,2025-07-01,2025T3,Alta Renda,COE,Central de Atendimento,2-5 anos,9,Informacoes estavam faceis de encontrar,283,1.0,8.0,1.0,0.0,duvida rentabilidade,Telefone,COE,1.0,3.0,0.0,16.2,0.0,CDB
FD00027,C00341,2025-07-30,2025T3,Alta Renda,Carteira Administrada,App,5+ anos,7,Aplicativo poderia explicar melhor,341,1.0,6.0,1.0,0.0,resgate,Telefone,Carteira Administrada,1.0,7.0,0.0,5.9,0.0,CDB
FD00028,C00159,2025-08-11,2025T3,Private,CDB,Internet Banking,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples",159,1.0,10.0,0.0,0.0,explicacao risco,Telefone,CDB,4.0,6.5,0.0,24.55,0.0,CDB
FD00029,C00039,2025-07-23,2025T3,Varejo,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo,39,,,,,,,,5.0,7.6,0.0,31.32,1.0,CDB
FD00030,C00282,2025-08-20,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,9,Atendimento claro e rapido,282,,,,,,,,2.0,10.5,0.0,22.799999999999997,0.0,CDB
FD00031,C00228,2025-07-29,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,9,Atendimento claro e rapido,228,,,,,,,,4.0,7.25,0.0,49.4,0.0,Carteira Administrada
FD00032,C00315,2025-07-27,2025T3,Varejo,Fundos,Central de Atendimento,2-5 anos,8,Demorou um pouco para encontrar informacoes,315,,,,,,,,1.0,3.0,0.0,10.5,1.0,Fundos
FD00033,C00410,2025-08-07,2025T3,Private,Fundos,Assessoria,2-5 anos,7,Demorou um pouco para encontrar informacoes,410,1.0,7.0,1.0,0.0,reclamacao atendimento,Chat,Fundos,2.0,2.0,0.0,17.85,0.0,Fundos
FD00034,C00143,2025-07-29,2025T3,Alta Renda,Tesouro Direto,,6-24 meses,10,Consegui acompanhar minha carteira,143,,,,,,,,2.0,5.5,0.0,13.75,0.0,Tesouro Direto
FD00035,C00290,2025-08-12,2025T3,Varejo,Fundos,Internet Banking,2-5 anos,7,Tive duvida sobre rentabilidade,290,1.0,9.0,1.0,0.0,acesso app,Chat,COE,4.0,8.0,0.0,24.325,0.0,COE
FD00036,C00545,2025-09-28,2025T3,Varejo,COE,App,5+ anos,9,Consegui acompanhar minha carteira,545,1.0,7.0,0.0,1.0,resgate,Chat,CDB,3.0,8.666666666666666,0.3333333333333333,26.166666666666668,0.0,CDB
FD00037,C00058,2025-08-29,2025T3,Private,Fundos,App,2-5 anos,9,Informacoes estavam faceis de encontrar,58,,,,,,,,2.0,7.0,0.0,10.299999999999999,0.0,Fundos
FD00038,C00146,2025-09-30,2025T3,Private,Carteira Administrada,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar,146,,,,,,,,1.0,8.0,0.0,26.4,1.0,Carteira Administrada
FD00039,C00203,2025-07-01,2025T3,Private,CDB,App,0-6 meses,8,Tive duvida sobre rentabilidade,203,,,,,,,,4.0,5.0,0.0,15.600000000000001,0.0,Fundos
FD00040,C00470,2025-08-24,2025T3,Novo Investidor,Carteira Administrada,App,6-24 meses,6,Nao consegui falar com assessor,470,,,,,,,,3.0,10.0,0.0,25.066666666666666,0.0,COE
FD00041,C00264,2025-07-26,2025T3,Alta Renda,Tesouro Direto,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar,264,1.0,10.0,1.0,0.0,duvida rentabilidade,Telefone,Carteira Administrada,2.0,2.0,0.0,18.3,0.0,Tesouro Direto
FD00042,C00211,2025-08-03,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira,211,1.0,9.0,0.0,1.0,duvida rentabilidade,Chat,CDB,3.0,8.333333333333334,0.0,12.5,1.0,CDB
FD00043,C00049,2025-08-21,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo,49,1.0,9.0,1.0,0.0,reclamacao atendimento,Telefone,CDB,4.0,5.0,0.0,16.675,0.0,CDB
FD00044,C00044,2025-09-23,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,2-5 anos,7,Demorou um pouco para encontrar informacoes,44,,,,,,,,1.0,6.0,1.0,44.5,0.0,Tesouro Direto
FD00045,C00412,2025-08-18,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,5,Informacoes divergentes sobre o produto,412,1.0,6.0,1.0,0.0,reclamacao atendimento,Telefone,Tesouro Direto,1.0,4.0,0.0,38.7,0.0,Tesouro Direto
FD00046,C00050,2025-07-30,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo,50,2.0,8.5,1.0,1.0,duvida rentabilidade,Telefone,Carteira Administrada,4.0,7.25,0.25,33.225,0.0,Tesouro Direto
FD00047,C00529,2025-08-16,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,10,Consegui acompanhar minha carteira,529,,,,,,,,4.0,9.5,0.0,7.425,1.0,Tesouro Direto
FD00048,C00195,2025-07-08,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,9,Assessoria ajudou na decisao,195,1.0,8.0,1.0,0.0,reclamacao atendimento,E-mail,Tesouro Direto,5.0,9.8,0.0,27.080000000000002,0.0,Carteira Administrada
FD00049,C00409,2025-09-25,2025T3,Novo Investidor,Tesouro Direto,App,5+ anos,7,"Atendimento resolveu, mas demorou",409,,,,,,,,3.0,9.0,0.0,32.733333333333334,0.0,CDB
FD00050,C00121,2025-09-25,2025T3,Varejo,Carteira Administrada,App,2-5 anos,9,Consegui acompanhar minha carteira,121,,,,,,,,1.0,8.0,1.0,38.3,0.0,Carteira Administrada
FD00051,C00112,2025-07-08,2025T3,Private,CDB,Assessoria,0-6 meses,10,Boa experiencia no aplicativo,112,1.0,10.0,1.0,0.0,resgate,E-mail,COE,3.0,11.0,0.0,16.8,0.0,COE
FD00052,C00520,2025-08-06,2025T3,Private,Fundos,Assessoria,0-6 meses,7,Aplicativo poderia explicar melhor,520,1.0,7.0,0.0,1.0,extrato,Chat,Fundos,1.0,9.0,0.0,27.2,0.0,CDB
FD00053,C00254,2025-09-23,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar,254,1.0,8.0,0.0,1.0,reclamacao atendimento,Telefone,Fundos,5.0,10.6,0.0,13.080000000000002,0.0,Fundos
FD00054,C00373,2025-07-20,2025T3,Private,Fundos,App,6-24 meses,8,Aplicativo poderia explicar melhor,373,,,,,,,,4.0,9.0,0.0,16.575,1.0,Fundos
FD00055,C00328,2025-07-09,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Demorou um pouco para encontrar informacoes,328,,,,,,,,2.0,10.0,0.5,18.8,0.0,Fundos
FD00056,C00180,2025-08-28,2025T3,Private,COE,Assessoria,5+ anos,10,Boa experiencia no aplicativo,180,,,,,,,,2.0,6.0,0.5,42.6,1.0,COE
FD00057,C00414,2025-07-25,2025T3,Varejo,Tesouro Direto,App,6-24 meses,10,Assessoria ajudou na decisao,414,1.0,10.0,1.0,0.0,reclamacao atendimento,Chat,CDB,2.0,8.5,0.0,12.3,0.0,CDB
FD00058,C00072,2025-09-25,2025T3,Private,Carteira Administrada,Central de Atendimento,2-5 anos,9,Atendimento claro e rapido,72,1.0,9.0,1.0,0.0,explicacao risco,Telefone,Tesouro Direto,4.0,6.25,0.5,33.2,1.0,Tesouro Direto
FD00059,C00094,2025-08-06,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,94,2.0,9.5,1.0,1.0,extrato,E-mail,CDB,2.0,5.0,0.0,16.9,1.0,CDB
FD00060,C00514,2025-07-06,2025T3,Varejo,CDB,App,2-5 anos,10,Boa experiencia no aplicativo,514,,,,,,,,1.0,11.0,0.0,13.1,0.0,CDB
FD00061,C00372,2025-09-23,2025T3,Private,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar,372,,,,,,,,3.0,8.0,0.0,23.266666666666666,1.0,Fundos
FD00062,C00061,2025-08-05,2025T3,Alta Renda,CDB,App,2-5 anos,9,Assessoria ajudou na decisao,61,,,,,,,,2.0,11.5,0.5,31.799999999999997,0.0,CDB
FD00063,C00335,2025-08-23,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor,335,3.0,10.0,3.0,0.0,acesso app,Telefone,CDB,4.0,7.5,0.0,30.05,1.0,Carteira Administrada
FD00064,C00383,2025-07-20,2025T3,Varejo,COE,Assessoria,0-6 meses,9,Informacoes estavam faceis de encontrar,383,1.0,6.0,1.0,0.0,acesso app,E-mail,COE,3.0,6.0,0.0,20.066666666666666,0.0,COE
FD00065,C00219,2025-09-04,2025T3,Varejo,Carteira Administrada,Central de Atendimento,0-6 meses,10,Informacoes estavam faceis de encontrar,219,2.0,9.0,2.0,0.0,resgate,Chat,Fundos,4.0,5.5,0.0,19.225,0.0,Tesouro Direto
FD00066,C00007,2025-08-08,2025T3,Private,Fundos,App,0-6 meses,9,Atendimento claro e rapido,7,2.0,9.5,2.0,0.0,acesso app,Chat,Fundos,2.0,5.5,0.0,3.0999999999999996,0.0,Fundos
FD00067,C00493,2025-08-13,2025T3,Private,CDB,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira,493,1.0,9.0,0.0,0.0,duvida rentabilidade,Telefone,Tesouro Direto,3.0,6.666666666666667,0.0,17.266666666666666,0.0,CDB
FD00068,C00365,2025-09-18,2025T3,Novo Investidor,Carteira Administrada,Internet Banking,5+ anos,9,Atendimento claro e rapido,365,,,,,,,,1.0,6.0,0.0,56.4,0.0,Carteira Administrada
FD00069,C00258,2025-07-25,2025T3,Varejo,Carteira Administrada,Internet Banking,5+ anos,8,"Atendimento resolveu, mas demorou",258,,,,,,,,2.0,6.5,0.0,26.5,0.0,Carteira Administrada
FD00070,C00147,2025-07-16,2025T3,Varejo,Fundos,App,5+ anos,9,Assessoria ajudou na decisao,147,1.0,3.0,1.0,0.0,acesso app,Telefone,Carteira Administrada,2.0,3.0,0.5,38.0,0.0,Carteira Administrada
FD00071,C00005,2025-07-09,2025T3,Private,Fundos,Central de Atendimento,6-24 meses,10,,5,1.0,10.0,0.0,0.0,duvida rentabilidade,Chat,Fundos,5.0,6.6,0.0,25.28,1.0,Fundos
FD00072,C00457,2025-07-18,2025T3,Private,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,457,1.0,10.0,0.0,0.0,duvida rentabilidade,Telefone,Tesouro Direto,1.0,9.0,1.0,28.8,0.0,Tesouro Direto
FD00073,C00404,2025-07-03,2025T3,Varejo,Fundos,App,2-5 anos,10,Atendimento claro e rapido,404,2.0,10.0,2.0,0.0,explicacao risco,Chat,Fundos,1.0,13.0,0.0,8.3,0.0,Fundos
FD00074,C00287,2025-09-24,2025T3,Alta Renda,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar,287,2.0,10.0,2.0,0.0,explicacao risco,Chat,Carteira Administrada,4.0,11.0,0.5,35.375,0.0,Fundos
FD00075,C00178,2025-08-11,2025T3,Alta Renda,Carteira Administrada,Internet Banking,5+ anos,9,Boa experiencia no aplicativo,178,,,,,,,,4.0,5.5,0.25,34.8,0.0,Carteira Administrada
FD00076,C00333,2025-08-15,2025T3,Private,CDB,App,6-24 meses,1,Demora para resolver meu problema,333,,,,,,,,1.0,11.0,0.0,17.6,0.0,CDB
FD00077,C00436,2025-07-10,2025T3,Varejo,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar,436,1.0,10.0,1.0,0.0,acesso app,Agencia,Tesouro Direto,3.0,4.0,0.3333333333333333,30.766666666666666,1.0,Carteira Administrada
FD00078,C00001,2025-07-30,2025T3,Alta Renda,Tesouro Direto,Assessoria,5+ anos,10,Informacoes estavam faceis de encontrar,1,1.0,10.0,1.0,0.0,resgate,Chat,Tesouro Direto,3.0,5.333333333333333,0.0,24.166666666666668,0.0,CDB
FD00079,C00271,2025-07-15,2025T3,Varejo,Fundos,App,6-24 meses,1,Nao consegui falar com assessor,271,1.0,10.0,0.0,1.0,duvida rentabilidade,Telefone,Fundos,5.0,5.0,0.0,29.26,0.0,Fundos
FD00080,C00010,2025-09-08,2025T3,Varejo,CDB,Central de Atendimento,5+ anos,7,"Experiencia ok, mas poderia ser mais simples",10,2.0,8.0,2.0,0.0,acesso app,Telefone,CDB,4.0,8.5,0.0,25.475,1.0,CDB
FD00081,C00297,2025-07-04,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,6,Informacoes divergentes sobre o produto,297,1.0,9.0,1.0,0.0,acesso app,Chat,Carteira Administrada,4.0,6.25,0.0,29.625,0.0,Fundos
FD00082,C00242,2025-08-26,2025T3,Novo Investidor,Fundos,Internet Banking,6-24 meses,9,Atendimento claro e rapido,242,1.0,10.0,1.0,0.0,duvida rentabilidade,Telefone,CDB,4.0,6.0,0.5,31.325,0.0,Fundos
FD00083,C00202,2025-08-18,2025T3,Private,Fundos,App,2-5 anos,10,Informacoes estavam faceis de encontrar,202,3.0,9.333333333333334,2.0,0.0,explicacao risco,Telefone,CDB,6.0,8.5,0.3333333333333333,34.03333333333333,0.0,CDB
FD00084,C00079,2025-07-17,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido,79,,,,,,,,5.0,10.6,0.0,15.12,0.0,Tesouro Direto
FD00085,C00390,2025-07-14,2025T3,Varejo,CDB,App,5+ anos,10,Atendimento claro e rapido,390,1.0,,1.0,0.0,duvida rentabilidade,Agencia,CDB,2.0,8.0,0.0,17.25,0.0,CDB
FD00086,C00496,2025-09-14,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,9,Boa experiencia no aplicativo,496,,,,,,,,2.0,8.5,0.0,11.15,0.0,CDB
FD00087,C00106,2025-08-07,2025T3,Private,COE,Assessoria,6-24 meses,9,Assessoria ajudou na decisao,106,1.0,8.0,1.0,0.0,resgate,Chat,CDB,4.0,6.75,0.0,23.25,1.0,CDB
FD00088,C00439,2025-09-07,2025T3,Varejo,Tesouro Direto,App,5+ anos,10,Boa experiencia no aplicativo,439,,,,,,,,2.0,8.5,0.0,25.2,0.0,Tesouro Direto
FD00089,C00214,2025-08-09,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor,214,,,,,,,,4.0,6.5,0.0,24.174999999999997,0.0,Fundos
FD00090,C00398,2025-08-28,2025T3,Alta Renda,CDB,Assessoria,5+ anos,8,Tive duvida sobre rentabilidade,398,,,,,,,,6.0,6.833333333333333,0.3333333333333333,36.71666666666667,0.0,CDB
FD00091,C00436,2025-08-07,2025T3,Varejo,Carteira Administrada,Internet Banking,6-24 meses,8,Tive duvida sobre rentabilidade,436,1.0,10.0,1.0,0.0,acesso app,Agencia,Tesouro Direto,3.0,4.0,0.3333333333333333,30.766666666666666,1.0,Carteira Administrada
FD00092,C00266,2025-08-01,2025T3,Varejo,COE,App,6-24 meses,0,Nao consegui falar com assessor,266,,,,,,,,2.0,11.0,0.0,31.700000000000003,0.0,CDB
FD00093,C00545,2025-08-08,2025T3,Varejo,CDB,Assessoria,6-24 meses,7,Demorou um pouco para encontrar informacoes,545,1.0,7.0,0.0,1.0,resgate,Chat,CDB,3.0,8.666666666666666,0.3333333333333333,26.166666666666668,0.0,CDB
FD00094,C00381,2025-09-02,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,9,Informacoes estavam faceis de encontrar,381,1.0,10.0,1.0,0.0,explicacao risco,Agencia,Tesouro Direto,3.0,7.333333333333333,0.6666666666666666,19.866666666666664,0.0,CDB
FD00095,C00374,2025-09-01,2025T3,Varejo,CDB,Assessoria,6-24 meses,10,Atendimento claro e rapido,374,1.0,10.0,1.0,0.0,duvida rentabilidade,Telefone,CDB,2.0,4.0,0.0,11.100000000000001,0.0,CDB
FD00096,C00206,2025-09-06,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Boa experiencia no aplicativo,206,,,,,,,,1.0,4.0,1.0,25.5,0.0,Fundos
FD00097,C00068,2025-09-20,2025T3,Varejo,CDB,Internet Banking,5+ anos,10,Consegui acompanhar minha carteira,68,,,,,,,,4.0,9.25,0.0,21.45,0.0,CDB
FD00098,C00034,2025-07-07,2025T3,Novo Investidor,COE,Assessoria,0-6 meses,10,Informacoes estavam faceis de encontrar,34,,,,,,,,,,,,,
FD00099,C00445,2025-08-15,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,445,1.0,10.0,0.0,1.0,reclamacao atendimento,Chat,COE,2.0,7.5,0.5,23.5,0.0,COE
FD00100,C00533,2025-09-13,2025T3,Novo Investidor,CDB,Assessoria,6-24 meses,10,Boa experiencia no aplicativo,533,,,,,,,,1.0,4.0,0.0,32.5,0.0,CDB
FD00101,C00006,2025-08-25,2025T3,Private,Fundos,Internet Banking,6-24 meses,10,Atendimento claro e rapido,6,,,,,,,,3.0,6.333333333333333,0.3333333333333333,15.0,1.0,CDB
FD00102,C00054,2025-07-03,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,9,Boa experiencia no aplicativo,54,,,,,,,,2.0,5.0,0.0,34.6,0.0,Tesouro Direto
FD00103,C00057,2025-07-24,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Atendimento claro e rapido,57,4.0,8.75,2.0,2.0,acesso app,Telefone,CDB,6.0,7.166666666666667,0.16666666666666666,22.849999999999998,0.0,CDB
FD00104,C00273,2025-08-22,2025T3,Varejo,Tesouro Direto,Central de Atendimento,0-6 meses,10,Atendimento claro e rapido,273,2.0,9.5,2.0,0.0,acesso app,Telefone,COE,3.0,8.666666666666666,1.0,25.3,0.0,COE
FD00105,C00480,2025-07-24,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,7,Tive duvida sobre rentabilidade,480,1.0,7.0,1.0,0.0,duvida rentabilidade,Telefone,Tesouro Direto,1.0,11.0,0.0,20.6,0.0,Tesouro Direto
FD00106,C00270,2025-09-22,2025T3,Alta Renda,Carteira Administrada,App,6-24 meses,9,Assessoria ajudou na decisao,270,,,,,,,,2.0,8.5,0.0,29.35,0.0,CDB
FD00107,C00174,2025-09-26,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Informacoes estavam faceis de encontrar,174,1.0,10.0,1.0,0.0,reclamacao atendimento,E-mail,Fundos,1.0,6.0,0.0,18.1,0.0,Fundos
FD00108,C00140,2025-08-07,2025T3,Novo Investidor,CDB,App,6-24 meses,7,Aplicativo poderia explicar melhor,140,,,,,,,,1.0,8.0,0.0,33.0,1.0,CDB
FD00109,C00468,2025-09-26,2025T3,Varejo,Carteira Administrada,Assessoria,0-6 meses,10,,468,2.0,10.0,2.0,0.0,acesso app,Chat,CDB,4.0,6.5,0.0,18.575,1.0,CDB
FD00110,C00203,2025-08-02,2025T3,Private,Fundos,App,2-5 anos,9,Assessoria ajudou na decisao,203,,,,,,,,4.0,5.0,0.0,15.600000000000001,0.0,Fundos
FD00111,C00357,2025-08-02,2025T3,Private,Tesouro Direto,App,5+ anos,9,Boa experiencia no aplicativo,357,1.0,9.0,1.0,0.0,resgate,Chat,Tesouro Direto,3.0,12.0,0.0,12.833333333333334,1.0,Tesouro Direto
FD00112,C00090,2025-07-15,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,6-24 meses,10,Atendimento claro e rapido,90,,,,,,,,2.0,8.0,0.0,25.15,0.0,Tesouro Direto
FD00113,C00375,2025-07-06,2025T3,Private,CDB,Internet Banking,2-5 anos,9,Consegui acompanhar minha carteira,375,1.0,8.0,1.0,0.0,acesso app,Chat,Fundos,5.0,8.6,0.0,21.7,0.0,CDB
FD00114,C00398,2025-09-22,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,5,Nao consegui falar com assessor,398,,,,,,,,6.0,6.833333333333333,0.3333333333333333,36.71666666666667,0.0,CDB
FD00115,C00383,2025-07-26,2025T3,Varejo,CDB,Assessoria,2-5 anos,10,Atendimento claro e rapido,383,1.0,6.0,1.0,0.0,acesso app,E-mail,COE,3.0,6.0,0.0,20.066666666666666,0.0,COE
FD00116,C00078,2025-07-12,2025T3,Private,CDB,App,0-6 meses,10,Atendimento claro e rapido,78,2.0,10.0,0.0,2.0,duvida rentabilidade,Chat,Fundos,3.0,8.666666666666666,0.0,23.433333333333334,1.0,Fundos
FD00117,C00332,2025-08-22,2025T3,Varejo,CDB,Central de Atendimento,2-5 anos,9,Consegui acompanhar minha carteira,332,1.0,7.0,0.0,1.0,extrato,E-mail,Fundos,3.0,6.333333333333333,0.0,13.1,1.0,CDB
FD00118,C00098,2025-08-28,2025T3,Alta Renda,Fundos,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo,98,1.0,10.0,1.0,0.0,resgate,E-mail,CDB,4.0,7.5,0.0,22.8,0.0,Fundos
FD00119,C00159,2025-09-14,2025T3,Private,Fundos,App,0-6 meses,9,Boa experiencia no aplicativo,159,1.0,10.0,0.0,0.0,explicacao risco,Telefone,CDB,4.0,6.5,0.0,24.55,0.0,CDB
FD00120,C00500,2025-07-20,2025T3,Novo Investidor,Tesouro Direto,Assessoria,2-5 anos,8,"Atendimento resolveu, mas demorou",500,1.0,7.0,1.0,0.0,explicacao risco,Chat,Tesouro Direto,3.0,5.333333333333333,0.0,33.36666666666667,1.0,Carteira Administrada
FD00121,C00130,2025-09-04,2025T3,Alta Renda,Tesouro Direto,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao,130,,,,,,,,2.0,11.0,0.0,7.3999999999999995,0.0,Fundos
